Battery,Cycle,Capacity,Mean_Voltage,Mean_Current,Mean_Temperature,Discharge_Duration,SoH
B0005,1,1.8564874208181574,3.5298286688693397,-1.8187019641679727,32.572328114029,3690.234,92.82437104090788
B0005,3,1.846327249719927,3.5373201277859714,-1.8175598506612867,32.72523522519307,3672.344,92.31636248599635
B0005,5,1.8353491942234077,3.5437367282719,-1.8164865418840956,32.64286193755933,3651.641,91.76745971117039
B0005,7,1.8352625275821128,3.5436661072601456,-1.8255891938692528,32.51487646204882,3631.563,91.76312637910564
B0005,9,1.8346455082120419,3.5423432526672167,-1.8261139590277586,32.38234901543077,3629.172,91.7322754106021
B0005,11,1.8356616600675495,3.5413347346347575,-1.8168108743168803,32.43418218230641,3652.281,91.78308300337747
B0005,13,1.8351461429226603,3.5410250495075215,-1.816791144707133,32.480416444757985,3650.828,91.75730714613302
B0005,15,1.8257567905665537,3.554133296801584,-1.8443412120754061,32.41046186109587,3572.453,91.28783952832768
B0005,17,1.8247738529891333,3.5529355991467955,-1.853972745505648,32.3461408313,3550.594,91.23869264945667
B0005,19,1.824613268496936,3.5512057319376997,-1.8535899338510957,32.27679750791685,3551.25,91.2306634248468
B0005,21,1.8246195526864504,3.549292319740949,-1.863380178294828,32.15709350345252,3530.25,91.23097763432251
B0005,24,1.8142019357673917,3.559759220648976,-1.872968810287894,32.36407129853099,3491.016,90.71009678836958
B0005,26,1.8137521577549054,3.558081969139198,-1.8826095043160833,32.3181954403762,3470.281,90.68760788774527
B0005,28,1.8134404914735822,3.555692244172496,-1.882536787636365,32.15709029211502,3470.0,90.67202457367911
B0005,30,1.8025980036306504,3.562746818017503,-1.8817935155260215,32.04407000314609,3450.297,90.12990018153252
B0005,32,1.80210690024615,3.5614521756489204,-1.8921861285036712,31.931593674911532,3429.407,90.10534501230751
B0005,34,1.802579500826209,3.5603420474985823,-1.9027629207037406,31.941655359029298,3409.484,90.12897504131045
B0005,36,1.8030683142834096,3.5591189041401865,-1.9133470605822436,31.965008645476725,3390.422,90.15341571417048
B0005,38,1.8027776247196041,3.557886771846508,-1.9131602105481538,31.966241678512723,3390.281,90.13888123598021
B0005,41,1.8470259949329193,3.5520375235511907,-1.8553455745575975,32.37143341978575,3591.734,92.35129974664596
B0005,45,1.847417311283644,3.5525668436897124,-1.8746995273150975,32.70024990461686,3552.297,92.3708655641822
B0005,49,1.8361774213478947,3.556794038327039,-1.873827212788385,32.32266411829938,3531.578,91.80887106739473
B0005,53,1.8257807475776242,3.5614100044534203,-1.883193546754683,31.98795810666763,3492.907,91.2890373788812
B0005,57,1.8251136435078368,3.5566107947817986,-1.873239184822504,31.894456524691385,3511.594,91.25568217539184
B0005,61,1.8255815042203762,3.5586742170266272,-1.9139593751505897,31.78039681801023,3431.9370000000054,91.2790752110188
B0005,65,1.8140311275083907,3.564103182686905,-1.9030532722310995,31.688747146342205,3431.125,90.70155637541953
B0005,69,1.8147691941158939,3.559588063594272,-1.9134590742247914,31.596747992569153,3412.406,90.7384597057947
B0005,73,1.813969388710352,3.556833231052199,-1.913620909902553,31.565586498787077,3410.688,90.69846943551761
B0005,77,1.802765665167823,3.5624410850948944,-1.9025819745719061,31.59124667045208,3410.718,90.13828325839116
B0005,81,1.804077040117352,3.5591407106855666,-1.9130621638638965,31.603485399391182,3392.719,90.2038520058676
B0005,85,1.8518025516704486,3.5573161327793144,-1.920618117118412,31.91556385491565,3470.672,92.59012758352243
B0005,89,1.8307038456739428,3.561870782772737,-1.9298830859597569,32.081128118597164,3414.109,91.53519228369714
B0005,93,1.8199041089501267,3.5617586337260088,-1.9293005284805407,31.849792632896243,3395.219,90.99520544750634
B0005,97,1.8093079637028517,3.5597307651083123,-1.923330987770314,31.465690433362017,3386.0,90.46539818514259
B0005,101,1.80460990458052,3.5575937553540915,-1.9284469980320087,31.40934895665031,3368.187,90.23049522902599
B0005,105,1.7993770651972192,3.5597237883937995,-1.9231439161693824,31.902247475518077,3368.266,89.96885325986096
B0005,109,1.7884432335370462,3.559061771422033,-1.9170149640438081,31.649024294808623,3358.719,89.42216167685231
B0005,113,1.7829230484252723,3.557015527748059,-1.922048805055383,31.48874626238971,3339.5,89.14615242126361
B0005,117,1.7730337158018288,3.5562481933590964,-1.9162302821549877,31.329995610092634,3331.265,88.65168579009143
B0005,121,1.773037755078937,3.5532756526091784,-1.9220800182578983,31.569551201845574,3321.188,88.65188775394685
B0005,125,1.7678721106662054,3.556266431640255,-1.9162417890311958,32.111426258867944,3321.844,88.39360553331026
B0005,129,1.7623150704093087,3.5563095420140822,-1.9158809823517762,32.271676011112376,3311.828,88.11575352046543
B0005,133,1.7676172924938447,3.558950851054106,-1.9114406265753041,31.842291659678658,3327.391,88.38086462469224
B0005,135,1.762668359743147,3.5534418211598053,-1.9158166997544155,31.759815453754253,3312.078,88.13341798715734
B0005,139,1.7517304870664143,3.5510121537420285,-1.9151304155635374,31.41911167391793,3293.172,87.58652435332071
B0005,143,1.7418496047960008,3.551317608213948,-1.9148485784393638,31.331626572312267,3275.328,87.09248023980004
B0005,147,1.7360913511847138,3.549003180550162,-1.9144128654409127,31.35934131425137,3265.016,86.8045675592357
B0005,149,1.7936240148573608,3.5597648340955175,-1.9388813849818083,34.31088483888259,3328.937,89.68120074286804
B0005,153,1.7831890223273275,3.5623454342368555,-1.927509725704535,33.43585640373788,3329.266,89.15945111636637
B0005,157,1.7673642076278957,3.558336657621618,-1.9267185977839403,32.66698125020078,3301.579,88.36821038139479
B0005,161,1.7570177850353066,3.554013138622869,-1.9261308349663746,32.28423408691397,3283.563,87.85088925176532
B0005,165,1.7468706179837907,3.552376095886298,-1.9202346781375206,32.00739178780946,3275.125,87.34353089918953
B0005,169,1.7417172507457144,3.549618661283733,-1.9201011498853633,32.06387071886056,3265.656,87.08586253728572
B0005,173,1.7364225056478186,3.54938103086703,-1.9144278105456467,32.43754560319043,3266.093,86.82112528239094
B0005,177,1.7263217239235826,3.5472118680418956,-1.908340706503589,32.16809876635083,3257.594,86.31608619617913
B0005,181,1.7158065389330133,3.5467052098640246,-1.902207182631691,32.05752645824972,3248.593,85.79032694665067
B0005,185,1.710533351135192,3.544629653883431,-1.9020484449938713,31.975920928072714,3238.766,85.52666755675959
B0005,189,1.706014499648521,3.5436291614253204,-1.8964907679062355,32.21689335291319,3240.14,85.30072498242605
B0005,193,1.7003110272642588,3.5444946147995258,-1.895971437908019,32.55632993697177,3230.109,85.01555136321294
B0005,197,1.6945798601797895,3.5409201846556857,-1.8899648799839277,32.40048085325998,3229.7810000000027,84.72899300898948
B0005,201,1.6849029086609286,3.541195668799061,-1.8893703824420507,32.29371860868794,3212.469,84.24514543304643
B0005,205,1.6744741591159717,3.540671044783382,-1.8776883243431417,32.136071448067796,3213.219,83.72370795579859
B0005,209,1.6745692479879102,3.5376048790268775,-1.8831065986697755,32.38268549723498,3203.578,83.72846239939551
B0005,213,1.663716375981405,3.538422485261741,-1.876359921441716,32.30899951427637,3195.125,83.18581879907026
B0005,215,1.659013868748246,3.53928626988912,-1.8709550260104437,32.56636929496716,3195.3129999999946,82.9506934374123
B0005,219,1.6538540573335014,3.533690170241391,-1.8705599868289542,32.46542951751835,3186.297,82.69270286667508
B0005,223,1.642653782130131,3.534367734544495,-1.8640049795794804,32.347056454418095,3176.438,82.13268910650655
B0005,227,1.6378578430223698,3.5312941932103548,-1.8636932149873204,32.371538940646154,3167.593,81.89289215111849
B0005,231,1.6327350407099108,3.5309134771684274,-1.857820396301907,32.45549347979197,3167.719,81.63675203549555
